RDKit Canonical Smiles,Molecule ChEMBL ID,Fingerprints_tsne_x,Fingerprints_ tsne_y,Daylight_tsne_x,Daylight_tsne_y,Molecular_Descriptors_tsne_x,Molecular_Descriptors_tsne_y,Fingerprints_Divergence_Pearson_Correlation,Fingerprints_Divergence_Kendall_Correlation,Daylight_Divergence_Pearson_Correlation,Daylight_Divergence_Kendall_Correlation,Molecular_Descriptors_Divergence_Pearson_Correlation,Molecular_Descriptors_Divergence_Kendall_Correlation,Molecular weight,aLogP,cx_most_apka,cx_most_bpka,Lipinski RO5 violations,Follows Lipinski’s RO5,QED_weighed,Bioactivity (P-glycoprotein 1)
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CHEMBL70,0.69497705,0.44252825,0.61287105,0.8267394,0.8691392,0.8728327,0.360260876873822,0.200583512019243,0.405287161847272,-0.04095129532638,0.632783748232022,0.152426194768478,285.34,1.2,10.26,9.12,0,True,0.7,0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CHEMBL389621,0.6981764,0.24012168,0.6237076,0.78157973,0.6663618,0.12986857,0.328089632450321,0.184735285403663,0.544182503771592,0.014632995043663,0.220996004185405,0.006809314097188,362.47,1.78,12.59,,0,True,0.7,0
COCO[C@@H]1CC(=O)OC[C@H](C)C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@H]1Cc1ccccc1,CHEMBL40066,0.75113356,0.37827936,0.64683336,0.72640854,0.5461053,0.344607,0.521327399782538,0.198208286674132,0.548194884200044,0.020141710061816,0.312131242449148,0.061158286423051,435.52,2.2,,,0,True,0.5,0
C[C@@H]1C(=O)OCC(=O)N(C)[C@@H](Cc2ccccc2)[C@@H](O)CC(=O)O[C@@H]1C,CHEMBL39957,0.71481407,0.34794557,0.6797792,0.7207049,0.64008015,0.20178059,0.540508256783711,0.198599972883262,0.536749523965757,0.019212710719648,0.043411202410233,-0.084086994511372,363.41,0.93,,,0,True,0.79,0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CCC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372469,0.95241404,0.29882246,0.2900231,0.62994367,0.25813678,0.13675165,0.594059902771021,0.229226821466413,0.638957259075048,0.085467939479459,0.713975053324011,0.310200412777005,1202.63,,,,,Undefined,,0
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(NC(=O)c4cnc5ccccc5c4)c(OC)c(OC)c3)cc1)CC2,CHEMBL506742,0.5019192,0.84064794,0.39744213,0.9386739,0.6889328,0.5008682,0.368590469761076,0.054534772194297,0.385491229449638,0.051155223236031,0.269489306940168,0.167460919257403,646.74,6.37,,8.36,2,False,0.17,0
COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ncccc2c1,CHEMBL455275,0.47803158,0.8359903,0.39089292,0.9299029,0.6908479,0.5158036,0.488036919639079,0.048318009028869,0.485626007005384,0.06371429001853,0.36233792069889,0.183474859269154,644.73,6.14,,8.36,2,False,0.17,0
CCCC[C@H]1OC(=O)C[C@H](OCOC)[C@H](Cc2ccccc2)N(C)C(=O)COC(=O)[C@H]1C,CHEMBL38977,0.721316,0.36278313,0.67166775,0.72478676,0.5619022,0.36148793,0.495710466034249,0.197364654839082,0.587909282455852,0.031731604557621,0.208753335355713,-0.026895786360281,449.54,2.73,,,0,True,0.45,0
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CHEMBL44657,0.31731936,0.10201579,0.60115904,0.8244568,0.55539566,0.59689367,0.232223078894483,0.008320821134986,0.376941192829723,-0.014391957376506,0.098255234083279,-0.091182540838309,588.56,1.34,9.33,,2,False,0.43,0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CHEMBL384467,0.696926,0.23120546,0.62204874,0.78244764,0.66560006,0.13130134,0.393502169794379,0.187763321097324,0.57533205424197,0.019860499450133,0.186831492955062,0.001662155579771,392.47,1.9,12.42,,0,True,0.67,0
