,Morgan Fingerprints,Daylight Fingerprints
0,0000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000010000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100100011000000000000000000000010000000100000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000100000000000000000000000000000000000000000000000000000000000011000000001000000000000000000000000000000001000001000000000000000000010000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000,1111011011010100000101000111000001101110101000000001110100000100110010011100001001010100000001001111010111100100100001000111010100011101000000110000001010000000110101111011110110001100000000010011010000100000101101101000000000010001010101000110010110000110000000011100111100000010111111010111101110000011010011001000111111000000001110011001010001110001010000011011000000010110100001000010100000101101111001001000010000010101100101101010001111111100010101010001110010101011101011000000010000001001111000010001110001010100111101000100100100001000101110000101001111010010000011000010100100011010110000000001010110100000000000100011000011011011100010001000100111100100000011111011110100001000000101000100000110001000000000011110001011111000011010101001100100010000100010011000000000011100100011101000100101000010101110000000101111100011100001110110001011001111011000001110101001111000000101000000001011000011001111010011010001010001001011010110110000101011101001010100000000010101110100100111000000000100010100000001000011000001
1,0000000000000000000100000000000000000001000000000000000000000000100000000000000000000000001000000000000000000000000000010000000010000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000100001000001000000000000000010000000000000000000001000000010000000000000000000100000000000000000000010000000000000000000100000000000000000000000010000000000001000000010000010000000000100000000000000000000000000000000001001000000000001000000000000000000000000000000010000000000000000000000000000000000100000000000000000000010000000010000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000001000000000000011000000000000000000000000000000000011000101000001000010000000000000000000000000000000010000000000000000000100000000000000000000000000000000100000001000000000000100000000100000000010000000000000000000000000000000000000,1111110100110110100011110111001011101011101001101111010110101111111111110111111011110111010111111111011111111100001111101111110111110110010110100000001011110110111101010011011110011011110101111111110001111010111101110110101101101101111111111111111111011110001110111101111110111110011101111100111110111001111001111111011011011111111110011101011111110101011101110111010000110011101101000011111000100111001001101001111001011001100111101011101011111110111101111011101111001011110011011100001111111110111111001100010111111100111011001110111101001011100011001101001111010111110011111000111100011111111011011101101011110111101111011111010011011111110010111101110111110111011010111011110111101110011011101101101111101001000101111110011111111111111000111001001010010010110100000111001110010110111101111101110111110111101100111000111110100111111111111111110111111111111001111111111111011101111111101110101111011010011111011111111101001111101101010111110100011011111101110000100101110101111100101111011111111100010101110101110111111111
2,0001000000000000000001000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000100100100000000000000001000000000001001000000000000000000000000000000000000000000001000000010000000000100000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000100000100010000000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000001000000000000001000000000000000000000000010000010000000000000000000000100001000000000000000010000000010000000000000000000110000000000000000000000000000000000000000000000000000000000000010000,1111110011110111111111111111111111111111101000101111101111111111110111111101111111011111001001111011111101111110101111111011110110111110100111111101011111111111111101111011111111111111111111111011011111111111111101111101011111111101111111101111101110011111111111011101101110111111011111010101011110110011011011010111001110011000111101110111011110100101011110011111101011110101111101111011111111101111111110010111111111011111111111111101111101111111011010111011110011100110111100011111101111111111111111111110111111011111111111111111111110011111011110111111111111111011111111101111111011111111101111111111110110111010111101111110111111111111011111111111110111111100111111111111011111100111111111111111001111111111011111111111111110111111111111101111111101101011111100110111111111111111111001111111111111101111010111101111100110111110111111111111111011011111111101111110110111110101011111111111111111110111111111110111111110111111111111111111011111111111101111110111111111101011111011111010111111110111011110111011111111111101
3,0001000000000000000000000000000001000000000000000000000000000000100000000000000010000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000100000000000010000000000000000000000010010000000000000000000000000000000000000000000000000100100100000000000000001000000000001000000000000000000000000000000000000000000000001000000010000000000100010000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100010000000000001001000000000000000000000010000000000000010000000000000000010000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000010000,1111110000110111101111111111110111011111101000101111100111111011110111111101111111011011001001111011111101111110101111111011110110110110100111111101011111111111111101111010111111111111111111111011011111111011111101111101011111111101111111101111101110011111111111011101101110111111010111010101011110110011011011010111001110011000111101110111011110100101011110011111001011110101111101111011111111101111111110010111111011011111110110111101111101101110011010011011000011100010111100011111101111111111111111101110111111011111011111110111111110011110011110111111111111111011111111101111011011111111101110111111110110111010111101111110011111111111011101111111110111111100111111111111011001100111111111111111001111111111011111111111111110111111111111101111111101101011111100110111011111110111111001111101111111101101010111100111100110111110110111111111111010011111111101111110010111110101011111111101111111110111111110110111111110111111111111111111011111111111101111110111111111101011111011111010111111110111011100110011111111111101
4,0000000000000000000100000000000001000000000000000000000000000000100000000000000000000000001010000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000010000100000000000100001000010000000000010010010000000000000000000001000000010000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000001000000010000000000000000100000000000001000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000010010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000100000011000000000000000000000000000000000011000101000001000010000000000000010000000000000000010000000000000000000101000000000000000000000000000000100000001000000000000100000000100000000010000000000000000000000000010000000000,1111110100110110101011110111001111101010101001101111010110101111111111110111111011111111011111111111111111111101001101101111110111110110010111110000001111110110111101110011011110111011110101111111110001111010111111110110100101101101111111111111111111011110001010111101111101111111011101111100111111101101111001111111011011011111111110011101011111110101011101110111110000110011101101010011111000100111001111111011111011011001100111111011101011111110111101111001101111101111110011001000001111110110111110101100011111111100111011001110111100001011110011101101001111010110110011111000111000011111111011011101101011110111101101011111010011011111110010111101110111110111010010111111110101101100011011111101101111101001000111111100011011111111111000101001101011010110111100000111001110110110111101111101110111111110101100111000111110100111111111111111110111111111111001111111111110011101111111101110101111111010011111001111011101001111111101010111110100011111101001111000100101111101111100101111011111111100010100110101110111101111
5,0000000000000001000010000000010000000000010000000000000000000000100000000000000010000010000000000000000000000000001000000100000010000000000000001000000000000000000000000000000100000000000000010010010000000000000000000010000000000000000011000000000000000000000000000100000000000000000000000000000000000100000000000000000100000000000000000000000000000000000010000110001000000000000000000001000001000000000000000000000010000001000001000100000000000000000000001000000000000000000000001000001000000000001000000000000000000000000010100000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010100000010000000000000000000000000000000100000000000000000000000000000000001000000000000100000000000000000000000000010000000000000000000000000000000010000001010000000000000000000000100000000000000001000000000000000000010000010000000000000000010000100000100000000000000000000010000000010000001000000000000000000100000100000010000000000100000001000000000000000000000000010000,1111101110110000100110101111110111011101101101100101011000100101100110101110100101010000011111001011010111100111110111101011111001111001011110110100111111011100010000111011011010101000101010000111100100101100111110111011000000010101011101010110011110011110101100111000110011101101010111110000011101101111101111001110011110011111111111110101011001010001000101010010001110001000000001111101001001101111100110000011110000011110001000101011011111101111100100110010001111111111111011110000110100011011011011100110001101010000010100101110101101110000100110111101011001100001100011111100100100100011101000011111011111001011100011001101110001101011100111101110100011010000111101100011111100110101110011100011010111001110110001110111101111101001000100001010100101100010101101111011001011110111111101111100100110110010111110100111111010110011011011101011000110010111011100111111011110010110101111110100111100010101110101100111011010111011011011011011100010000011100101100100101100011011111111111110010101101010100001001001010100100011
6,0000000000000001000000000000000000000000010000000000000000000000100000000010000010000010000000000000000000000000001000000100000010000000000000001000000000000000000000000000000100000000000000000010010000000000000000000010000000000000000011000000000000000000000000000100000000000000000000000000000000000100000000000000000100000000000000000000000000000000000010000110001000000000000000000001000001000000000000000000000011000001000001000100000000000000000000001010000000000000000000001000001000000000001000000000000000000000000010100000000000000000000000000000000001000100000000000000000000000000000000000000000000100000000000000000000000000000000000000010000000010000000000000000000000000000000100000000000000000000000000000000001000000000000100000000000000000000000000010000000000000000000000000000000000000001010000000000000000000000000000000000000001000000000000000000010000010000000000000000010000100000100000000000000000000010000000010000001000000000000000000100000100000010000000000100000001000000000000000000000000010000,1111101110110000100110101111110111011101101101100101001001100111100110100110100101010000001111001011010111000111110111001011111001111001011110110100011100010100010000101011001010101000001010000111100100101100111110111011000000010101011101010110001110011110101100111000110011101101010011110000011101100001101101111010001100011111111110110101011001010101000101010010001110001000000000111101001011101111000110000011110000011010001000101011011111101011100100110010001111110111111011110000110100011011011011100110001101010100010100101100101101110000100110111101011001100001100011111100100100101011101000011111011111001001100011001111110001101011100111101110100011010000111101100001111000111101110010100011010111001110010001010101101111101001000100001010100101100010101101111011001011110111101101111100100110100010111110100111111010110010011011101010000010010111011100111101011110010110101111110100111100010101110111100111011010011011011011011010100010000011100101100100101100011011111111111110010101101010100001001001010100100011
7,0000000000000001000010000000010000000000010000000000000000000000100000000000000010000010000000000000000000000000001000000100000010000000000000001000000000000000000000000000000100000000000000010000010000000000000000000010000000000000000011000000000000000000000000000100000000000000000000000000000000000100000000000000000100000000000000000000000000000000000010000100000000000000000000000001010001000000000000000000000010000000000001000100000000000000000000001000000000000000000000001000001100000000011000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010100000000000000000000000000000000000000100000000000000000000000000000000001000000000000100000000000000000000000000010000000000000000000000000000000010000001010000000000000000000000100000000000000001000000000000000000010000010000000000000000010000100000100000000000000000000010000000010000001000000000000000000100000000000000000000000100000001000000000000000000000000010000,1111101100110000100100100111100001011101101101100101011000100101100110101110100101010000011111000011010111100111110101101011101001111001000110110100111111011100010000111011011000101000101010000111100100101100111110110011000000010101011101010010011110011110101100110000110011001101010111110000011000101111101111000110011110011011011111110101000001010001000101000010001110001000000001111101001001101111100110000011110000011110001000101010011111101110100100110000001011111111111011110000110100011011010011100110001101010000010100101110101100110000100110111101011001100001100010111100100100000011001000011111011110001011100001001101110001101011100011101110000010010000111101100011111100110101110011100001010111001110110001110111101110100001000100001010100101100000100101111011001011000111111101111100100010110010111110100111011010110011011011101011000110010111000100111111011110010110101111100100111100010101010101100110011010111011011011011011000010000001100101100100101100001011111100111010010101101000100001001001010100100011
8,0101000000000000000000000010000001000000100101000000000000000000100000000000010000000000000000100000000000000000000000000100000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100010000000000000000000000000000100000000000000000000000000000000000010000000000000000010001000000000000000001000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000001000000000000010000000000000000000000100000010000010000000000000000000000000010000000010000000000000000000100000000000100000000000000000000000000000000000000000000000001010000,1111111000111100101011110111011000101111101111101111001101101101110110101101111011011111111111110111010111101000101101101111100011011111001110100011111111000101011011111111001001101001101111001111001110101101111100100110111000010011011011010000111111111110111010110001111010101001111111000000111101101000010001000001110111001010011111111110101111010111010011010000111111010000111011101011011011010011110000111000111001111001001101101101110111111110010101010011011011111111110011001110111011011001101101010110011011011100111111100110001110101001110111001101001111010111110111011010101100110101011000011011011111011000101001101111110111101010110111001000001011111110001110101011101110001011111001110100001110101110110111110111110111000001111100111001100000100101110001111110100010011111011101111100000010111000110110000110110110111010011001111111110111111111011100111110101110111011100111000101111101111111001111101011110100001011101001110011101110001000100011101010000100110111111101101011011111110110010101011001111111110011
9,0100100000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000010000000010000100001000000000001000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000001001000100000100000000000000000000000000000000000000000000001100000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000010010000000000000000010000000001000000000000000000000010000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000000,1111010010001010010010000101000100101010111100001011100101101000010000111010010001011000001100111000000110101000100000000001100001110000001101100000111101011100011100101011100110001001110111011011000010100011110001001000000011010011100101000000001100000000101010110001110000101101010111000000011010100111000001000110000011000011011110111101001110000000100100001000000111000001000000000001000000000111100100000000100001000100001100101011000111001110100000110010001110100001001100001000100000000101011001000011100001010010111010110110010011011100010110001101001010001001000010110101101101000011000001000011110011001000000110000010110110000000100111010010010011011100000010000001001000110000100001011010011010111110000111110000100100010001100101001101110000100010111000011111101011000110101001101110000111100010110110111101010011101010000010001110100011100111001001101100000010110000000111000001001001100001101001010011010100010011011000010100111000100010000100101010000001100011010000101111000101000110010011101100010010100001
