tSNE_0,tSNE_1,Label_target_A,Label_target_B
0.66928256,0.18199793,0,2
0.735831,0.0639278,0,0
0.41507852,0.38971803,0,1
0.4271261,0.33828354,0,0
0.7417334,0.09118357,0,0
0.44006103,1,0,0
0.42431813,0.9810135,0,0
0.4541239,0.97922605,0,0
0.7477291,0.5696306,0,0
0.09747037,0.18026367,0,0
0.6417556,0.42810518,0,0
0.40295506,0.3516909,0,0
0.46785492,0.9566176,0,0
0.4468277,0.35568658,0,1
0.7545537,0.112732455,0,0
0.5114032,0.43034446,0,0
0.063929975,0.08574322,0,0
0.48204154,0.93653774,0,0
0.48980296,0.9624073,0,0
0.6121274,0.33236465,0,0
0.081400365,0.055444628,0,0
0.07976496,0.099208474,0,0
0.08366841,0.16941242,0,0
0,0.09486771,0,0
0.029286146,0.11624429,0,0
0.05559188,0.11805372,0,0
0.7636959,0.08819267,0,0
0.046842724,0.031836003,0,0
0.04882723,0.06524125,0,0
0.024054825,0.040356815,0,0
0.5585441,0.30510044,0,0
0.5378806,0.5041026,0,0
0.4352054,0.9541413,0,0
0.75689024,0.06304702,0,0
0.56924236,0.3754739,0,0
0.9584677,0.2973091,0,0
0.73358,0.5803906,0,0
0.45740813,0.9323942,0,0
0.52026606,0.32093325,0,0
0.041461796,0.09389341,0,0
0.024820447,0.07630929,0,0
0.45767587,0.20143951,0,0
0.5746879,0.34422025,0,0
0.18083015,0.22330736,0,1
0.62351465,0.17126386,0,0
0.43643242,0.39103994,0,1
0.6655824,0.3391589,0,0
0.5510724,0.44636232,0,0
0.6867823,0.34454978,0,0
0.5995375,0.28914243,0,0
0.3140636,0.42123583,0,0
0.93976706,0.28124678,0,0
0.2998343,0.43055758,0,0
0.6878897,0.31806204,0,1
0.9387089,0.31787577,0,0
0.6092061,0.16467085,0,0
0.45801854,0.18250301,0,0
0.3997633,0.60550684,0,1
0.39594316,0.6318399,0,1
0.45358968,0.14874995,0,0
0.47820243,0.35305214,0,0
0.4542161,0.32587242,0,0
0.5202533,0.2633751,1,0
0.6549384,0.19339971,1,0
0.410449,0.9358187,1,1
0.70682824,0.3578898,1,0
0.19475657,0.23188421,1,0
0.4528671,0,1,1
0.78549373,0.45359033,1,0
0.6311135,0.37645718,1,1
0.43390346,0.05464706,1,0
0.30349568,0.3989685,1,1
0.3930931,0.06263742,1,0
0.7031683,0.46406272,1,1
0.45830336,0.38019916,1,2
0.7063475,0.4826594,1,1
0.4512874,0.07926303,1,0
0.98829865,0.34551266,1,0
0.9629961,0.3236043,1,0
0.42767945,0.3647248,1,1
0.60484886,0.595075,1,0
0.6044189,0.52987,1,0
0.62651265,0.5878254,1,0
0.60917526,0.56904215,1,0
0.77193564,0.44163632,1,0
0.44273454,0.4349183,1,0
0.71175015,0.32903588,1,0
0.677513,0.36655262,1,0
0.6425153,0.5298829,1,0
0.9644649,0.27244133,1,0
0.6235316,0.51490116,1,1
0.64239836,0.5692557,1,0
0.7974919,0.4340562,1,0
0.9414903,0.34327692,1,0
1,0.29115555,1,0
0.98364365,0.31411487,1,0
0.62492603,0.5434328,1,0
0.5931483,0.46511248,1,1
0.38017634,0.5929749,1,1
0.6000227,0.41416878,1,1
0.37917864,0.6182371,1,1
0.65701437,0.702443,1,1
0.66855717,0.7177976,1,1
0.57498235,0.4079121,1,2
0.40351665,0.046287924,2,1
0.59437686,0.3719101,2,0
0.4360776,0.02801925,2,1
0.6117251,0.27570432,2,0
0.5118618,0.3751336,2,0
0.10654327,0.039723545,2,0
0.53372645,0.5945332,2,0
0.45073247,0.04639703,2,1
0.53354794,0.61345243,2,1
0.48226473,0.46244276,2,1
0.5826522,0.25140327,2,1
0.54647994,0.35782388,2,2
0.68238485,0.70125425,2,1
0.54497916,0.3960293,2,2
