tSNE_0,tSNE_1,Label_target_A,Label_target_B
0.4156552,0.75790673,0,2
0.4260233,0.028286517,0,0
0.37743908,0.6024803,0,1
0.42153862,0.6100092,0,0
0.43208194,0.007944226,0,0
0.23969603,0.9434637,0,0
0.2270501,0.9498246,0,0
0.24536748,0.90628487,0,0
0.4202281,0.81659687,0,0
0.32692885,0.72913176,0,0
0.2462416,0.65901846,0,0
0.38629052,0.638323,0,0
0.23252405,0.91403896,0,0
0.37299216,0.63612455,0,1
0.44611865,0.004323542,0,0
0.24903592,0.68385327,0,0
0.7399589,0.952729,0,0
0.21963382,0.9234378,0,0
0.21870704,0.9372776,0,0
0.19752736,0.6536745,0,0
0.77022684,0.9633407,0,0
0.73926437,0.968359,0,0
0.3560336,0.81780684,0,0
0.69704527,0.9508413,0,0
0.71491885,0.938596,0,0
0.69821423,0.96257603,0,0
0.44044197,0.01760006,0,0
0.72183335,0.94882655,0,0
0.69983864,0.92660296,0,0
0.7263683,0.96410364,0,0
0.46520138,0,0,0
0.21587156,0.6378795,0,0
0.24730447,0.9207933,0,0
0.43786716,0.034455717,0,0
0.33788168,0.60520405,0,0
0.16854927,0.62535256,0,0
0.43064812,0.8153218,0,0
0.23421222,0.9288292,0,0
0.42162687,0.80353427,0,0
0.7530487,0.95312035,0,0
0.75532997,0.9666146,0,0
0.33279204,0.77891815,0,0
0.07600281,0.8165015,0,0
0.3169512,0.73260903,0,1
0.39343727,0.7681144,0,0
0.38497898,0.61465806,0,1
0.121439144,0.63517004,0,0
0.45673627,0.015930831,0,0
0.14269896,0.6540397,0,0
0.13257298,0.60691315,0,0
0.124455184,0.8832553,0,0
0.16723625,0.63935137,0,0
0.114602804,0.87867945,0,0
0.14453891,0.68263936,0,1
0.16193171,0.61456,0,0
0.40122688,0.76266634,0,0
0.3425695,0.7776845,0,0
0.9533498,0.50036263,0,1
0.9387412,0.49993366,0,1
0.33674014,0.7955622,0,0
0.40073073,0.61465394,0,0
0.41061282,0.6230923,0,0
0.37066036,0.58617777,1,0
0.30529737,0.7767568,1,0
0.34609494,0.8182552,1,1
0.15417477,0.6624209,1,0
0.14090303,0.87062055,1,0
0.34438318,0.8513596,1,1
0.26218143,0.7218785,1,0
0.17075737,0.66804934,1,1
0.30722964,0.9097949,1,0
0.124862775,0.8706333,1,1
0.30671984,0.8855525,1,0
0.9810349,0.54678255,1,1
0.36529613,0.6058881,1,2
0.99430144,0.54329956,1,1
0.75197846,0.99608994,1,0
0.234936,0.67039376,1,0
0.18639067,0.6401128,1,0
0.39715058,0.62690413,1,1
0.048609138,0.8419183,1,0
0.0042020082,0.8741573,1,0
0.0349198,0.8406814,1,0
0.03917557,0.8524915,1,0
0.06493828,0.8265682,1,0
0.4368632,0.607957,1,0
0.15434743,0.6880917,1,0
0.13500766,0.64249474,1,0
0.01455307,0.86577415,1,0
0.15073346,0.62466335,1,0
0,0.86224943,1,1
0.006121218,0.8463779,1,0
0.26989138,0.71468985,1,0
0.15183619,0.6063136,1,0
0.14900406,0.58629835,1,0
0.21678057,0.65805376,1,0
0.02297467,0.8522232,1,0
0.2717579,0.88757765,1,1
0.929096,0.5099552,1,1
0.27088746,0.7015394,1,1
0.93782043,0.5220915,1,1
0.9554318,0.5294031,1,1
0.96354544,0.52040875,1,1
0.31788287,0.6790763,1,2
0.3076641,0.89985156,2,1
0.2812608,0.8823158,2,0
0.3332762,0.8462334,2,1
0.4147303,0.6428127,2,0
0.4514076,0.030320525,2,0
0.7412714,1,2,0
0.9870246,0.55915904,2,0
0.33381456,0.8585562,2,1
1,0.5553302,2,1
0.2861324,0.72715026,2,1
0.32683575,0.67260414,2,1
0.14742613,0.57449865,2,2
0.9478591,0.5130288,2,1
0.29543588,0.71350074,2,2
